Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL,date
88,74,Poesia Acústica #9: Melhor Forma,Filipe Ret & Cesar MC & L7NNON & Djonga & Salve Malak & Pineapple StormTV L7NNON Chris Mc Xamã Lourena César Mc Djonga Filipe Ret & Salve Malak & Xamã & Chris MC & Lourena,11,6137963,-0.06%,https://www.youtube.com/watch?v=e1tZUSriYM8,2020-09-24
89,87,Dil Chahte Ho,Jubin Nautiyal & Payal Dev,4,6113783,-0.01%,https://www.youtube.com/watch?v=pgQPquFKKpc,2020-09-24
90,37,Lover Se Shadi,Khesari Lal Yadav,2,6098373,-0.41%,https://www.youtube.com/watch?v=1uftZ6HX9sY,2020-09-24
91,61,G.O.A.T.,Diljit Dosanjh,3,6090153,-0.19%,https://www.youtube.com/watch?v=dCmp56tSSmA,2020-09-24
92,76,Quero você do jeito que quiser,Maiara & Maraisa & Marília Mendonça,7,6064859,-0.07%,https://www.youtube.com/watch?v=JiuYnJYKLus,2020-09-24
93,94,Amor e Fé (Ao Vivo),Hungria & Pixote,3,6025264,0%,https://www.youtube.com/watch?v=iZq0u3quAqo,2020-09-24
94,n/a,Jeans,Justin Quiles,1,6025182,n/a,https://www.youtube.com/watch?v=WCoI6jIk9w8,2020-09-24
95,69,Djadja [Remix],Aya Nakamura,14,6013950,-0.13%,https://www.youtube.com/watch?v=8H8L2yPgI68,2020-09-24
96,98,WAP,Cardi B,2,5885507,0.02%,https://www.youtube.com/watch?v=-GAIe9DNFcc,2020-09-24
97,78,Singapur,Chael Produciendo & El Alfa,13,5873754,-0.1%,https://www.youtube.com/watch?v=RCufThTuB3M,2020-09-24
98,95,Full Song:LAGDI LAHORE DI|Street Dancer 3D | Varun DShraddha K Nora F |Guru RandhawaTulsi Kumar,Guru Randhawa & Tulsi Kumar,15,5808124,-0.02%,https://www.youtube.com/watch?v=L9pTBouRz68,2020-09-24
99,n/a,Maluma - Hawái (Letra/Lyrics) | Deja de mentirte La foto que subiste con el,Eternity Music,1,5801563,n/a,https://www.youtube.com/watch?v=KDH2KwXHJIY,2020-09-24
100,86,Mood (Official Video),24kGoldn,2,5790806,-0.07%,https://www.youtube.com/watch?v=GrAchTdepsU,2020-09-24
