Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
18,n/a,NoCap - Sun Up To Sun Down (Music Video),NoCap,1,1424030,n/a,https://www.youtube.com/watch?v=NLhfOd1QmWs
19,20,Break Or Make Me,YoungBoy Never Broke Again,4,1406912,0.04%,https://www.youtube.com/watch?v=zQtIPvOeqAg
20,22,Back In Blood,Pooh Shiesty,42,1392283,0.04%,https://www.youtube.com/watch?v=0-Tm65i96TY
21,23,Pepas (Official Video),Farruko,11,1344738,0.03%,https://www.youtube.com/watch?v=y8trd3gjJt0
22,6,Killing The Rats,Kodak Black,2,1323162,-0.38%,https://www.youtube.com/watch?v=QoGeItZdry4
23,16,INDUSTRY BABY (Official Video),Jack Harlow & Lil Nas X,13,1309316,-0.17%,https://www.youtube.com/watch?v=UTHLKHL_whs
24,60,Índigo (Official Video),Evaluna Montaner & Camilo,2,1291430,0.67%,https://www.youtube.com/watch?v=DriCCFRQlj8
25,24,You’re Mines Still,Yung Bleu,44,1265485,0%,https://www.youtube.com/watch?v=_bptrMV3zHE
26,25,INDUSTRY BABY,Jack Harlow & Lil Nas X,12,1227241,-0.01%,https://www.youtube.com/watch?v=HCq1OcAEAm0
27,26,TWINNEM (Official Music Video),Coi Leray,3,1216688,-0.01%,https://www.youtube.com/watch?v=JNCkUEeUFy0
28,31,Me Metí En El Ruedo (En Vivo),Luis R Conriquez,10,1212563,0.05%,https://www.youtube.com/watch?v=JDkPpdkIl7g
29,32,Welcome to My House,Jesse Howard & Nu Breed,5,1160274,0.01%,https://www.youtube.com/watch?v=b1OtvpAZkvk
30,44,RAPSTAR (Official Video),Polo G,28,1146853,0.2%,https://www.youtube.com/watch?v=w2IhccXakkE
31,47,Tombstone,Rod Wave,29,1144814,0.25%,https://www.youtube.com/watch?v=wo9AlOrQ3iE
32,45,Essence (Official Video),Wizkid,11,1137442,0.21%,https://www.youtube.com/watch?v=jipQpjUA_o8
33,35,Save Your Tears (Official Music Video),The Weeknd,42,1112819,0.03%,https://www.youtube.com/watch?v=XXYlFuWEuKI
34,43,Need to Know (Official Video),Doja Cat,19,1091458,0.14%,https://www.youtube.com/watch?v=dI3xkL7qUAc
35,38,Quicksand,Morray,47,1079846,0.04%,https://www.youtube.com/watch?v=OLi5_8JWoAU
36,33,2055 (Official Video),Sleepy Hallow,14,1036924,-0.09%,https://www.youtube.com/watch?v=y1xZ_kAhjMc
37,50,Have Mercy (Official Video),Chlöe,6,1008964,0.14%,https://www.youtube.com/watch?v=FfesqRkdSEk
38,n/a,Damage (Official Video),H.E.R.,26,986250,n/a,https://www.youtube.com/watch?v=PAFAfhod9TU
39,30,Lonely (with Lil Wayne) [Official Video],DaBaby,6,977891,-0.16%,https://www.youtube.com/watch?v=pqydBaa1QR8
40,39,Kiss Me More (Official Video),Doja Cat,28,977784,-0.05%,https://www.youtube.com/watch?v=0EVVKs6DQLo
41,27,Bad Morning,YoungBoy Never Broke Again,4,970233,-0.18%,https://www.youtube.com/watch?v=249kxCTS2os
42,36,MONEY (PERFORMANCE VIDEO),BLACKPINK,5,966934,-0.08%,https://www.youtube.com/watch?v=dNCWe_6HAM8
43,49,Aventura Bad Bunny - Volví (Video Oficial),Aventura & Bad Bunny & Romeo Santos,12,964561,0.09%,https://www.youtube.com/watch?v=ayd3yWr4tqU
44,29,Your Heart,Joyner Lucas & J. Cole,4,952935,-0.19%,https://www.youtube.com/watch?v=nD-Zu6aayS0
45,n/a,Hello (Official Music Video),Adele,1,945500,n/a,https://www.youtube.com/watch?v=YQHsXMglC9A
